Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
WALLA WALLA COUNTY - MVET,3650,0.065,0.013,0,0.078,20181001,20181231
COLLEGE PLACE - MVET,3651,0.065,0.019,0,0.084,20181001,20181231
PRESCOTT - MVET,3652,0.065,0.013,0,0.078,20181001,20181231
WAITSBURG - MVET,3653,0.065,0.014,0,0.079,20181001,20181231
WALLA WALLA CITY - MVET,3654,0.065,0.021,0,0.086,20181001,20181231
WALLA WALLA PTBA - MVET,3686,0.065,0.019,0,0.084,20181001,20181231
WHATCOM COUNTY,3700,0.065,0.014,0,0.079,20181001,20181231
BELLINGHAM,3701,0.065,0.022,0,0.087,20181001,20181231
BLAINE,3702,0.065,0.022,0,0.087,20181001,20181231
EVERSON,3703,0.065,0.02,0,0.085,20181001,20181231
FERNDALE,3704,0.065,0.022,0,0.087,20181001,20181231
LYNDEN,3705,0.065,0.022,0,0.087,20181001,20181231
NOOKSACK,3706,0.065,0.02,0,0.085,20181001,20181231
SUMAS,3707,0.065,0.02,0,0.085,20181001,20181231
WHATCOM-PTBA,3737,0.065,0.02,0,0.085,20181001,20181231
WHATCOM COUNTY - MVET,3750,0.065,0.013,0,0.078,20181001,20181231
BELLINGHAM - MVET,3751,0.065,0.021,0,0.086,20181001,20181231
BLAINE - MVET,3752,0.065,0.021,0,0.086,20181001,20181231
